Source,Type,Target,Weight
Leonato_Ado,Undirected,MESSENGERS.LEONATO.1_Ado,2
Leonato_Ado,Undirected,Beatrice_Ado,5
Leonato_Ado,Undirected,Hero_Ado,4
Leonato_Ado,Undirected,DonPedro_Ado,7
Leonato_Ado,Undirected,Benedick_Ado,7
Leonato_Ado,Undirected,DonJohn_Ado,4
Leonato_Ado,Undirected,Claudio_Ado,7
Leonato_Ado,Undirected,LeonatosBrother_Ado,4
Leonato_Ado,Undirected,Margaret_Ado,1
Leonato_Ado,Undirected,Balthasar_Ado,2
Leonato_Ado,Undirected,Ursula_Ado,1
Leonato_Ado,Undirected,Antonio_Ado,1
Leonato_Ado,Undirected,Borachio_Ado,2
Leonato_Ado,Undirected,Boy_Ado,1
Leonato_Ado,Undirected,Dogberry_Ado,2
Leonato_Ado,Undirected,Verges_Ado,2
Leonato_Ado,Undirected,FriarFrancis_Ado,2
Leonato_Ado,Undirected,MESSENGERS.DONPEDRO.1_Ado,1
MESSENGERS.LEONATO.1_Ado,Undirected,Beatrice_Ado,1
MESSENGERS.LEONATO.1_Ado,Undirected,Hero_Ado,1
MESSENGERS.LEONATO.1_Ado,Undirected,DonPedro_Ado,1
MESSENGERS.LEONATO.1_Ado,Undirected,Benedick_Ado,1
MESSENGERS.LEONATO.1_Ado,Undirected,DonJohn_Ado,1
MESSENGERS.LEONATO.1_Ado,Undirected,Claudio_Ado,1
MESSENGERS.LEONATO.1_Ado,Undirected,Dogberry_Ado,1
MESSENGERS.LEONATO.1_Ado,Undirected,Verges_Ado,1
Beatrice_Ado,Undirected,Hero_Ado,6
Beatrice_Ado,Undirected,DonPedro_Ado,5
Beatrice_Ado,Undirected,Benedick_Ado,6
Beatrice_Ado,Undirected,DonJohn_Ado,3
Beatrice_Ado,Undirected,Claudio_Ado,5
Beatrice_Ado,Undirected,LeonatosBrother_Ado,2
Beatrice_Ado,Undirected,Margaret_Ado,4
Beatrice_Ado,Undirected,Balthasar_Ado,2
Beatrice_Ado,Undirected,Ursula_Ado,4
Beatrice_Ado,Undirected,Antonio_Ado,1
Beatrice_Ado,Undirected,Borachio_Ado,1
Beatrice_Ado,Undirected,Boy_Ado,1
Beatrice_Ado,Undirected,FriarFrancis_Ado,2
Beatrice_Ado,Undirected,MESSENGERS.DONPEDRO.1_Ado,1
Hero_Ado,Undirected,DonPedro_Ado,4
Hero_Ado,Undirected,Benedick_Ado,4
Hero_Ado,Undirected,DonJohn_Ado,3
Hero_Ado,Undirected,Claudio_Ado,4
Hero_Ado,Undirected,LeonatosBrother_Ado,2
Hero_Ado,Undirected,Margaret_Ado,3
Hero_Ado,Undirected,Balthasar_Ado,1
Hero_Ado,Undirected,Ursula_Ado,3
Hero_Ado,Undirected,Antonio_Ado,1
Hero_Ado,Undirected,Borachio_Ado,1
Hero_Ado,Undirected,FriarFrancis_Ado,2
Hero_Ado,Undirected,MESSENGERS.DONPEDRO.1_Ado,1
DonPedro_Ado,Undirected,Benedick_Ado,7
DonPedro_Ado,Undirected,DonJohn_Ado,4
DonPedro_Ado,Undirected,Claudio_Ado,8
DonPedro_Ado,Undirected,LeonatosBrother_Ado,3
DonPedro_Ado,Undirected,Margaret_Ado,1
DonPedro_Ado,Undirected,Balthasar_Ado,2
DonPedro_Ado,Undirected,Ursula_Ado,1
DonPedro_Ado,Undirected,Antonio_Ado,1
DonPedro_Ado,Undirected,Borachio_Ado,2
DonPedro_Ado,Undirected,Boy_Ado,1
DonPedro_Ado,Undirected,FriarFrancis_Ado,2
DonPedro_Ado,Undirected,Dogberry_Ado,1
DonPedro_Ado,Undirected,Verges_Ado,1
DonPedro_Ado,Undirected,ATTENDANTS.0.1_Ado,1
DonPedro_Ado,Undirected,MUSICIANS_Ado,1
DonPedro_Ado,Undirected,MESSENGERS.DONPEDRO.1_Ado,1
Benedick_Ado,Undirected,DonJohn_Ado,4
Benedick_Ado,Undirected,Claudio_Ado,7
Benedick_Ado,Undirected,LeonatosBrother_Ado,3
Benedick_Ado,Undirected,Margaret_Ado,2
Benedick_Ado,Undirected,Balthasar_Ado,2
Benedick_Ado,Undirected,Ursula_Ado,2
Benedick_Ado,Undirected,Antonio_Ado,1
Benedick_Ado,Undirected,Borachio_Ado,2
Benedick_Ado,Undirected,Boy_Ado,1
Benedick_Ado,Undirected,FriarFrancis_Ado,2
Benedick_Ado,Undirected,Dogberry_Ado,1
Benedick_Ado,Undirected,Verges_Ado,1
Benedick_Ado,Undirected,MESSENGERS.DONPEDRO.1_Ado,1
DonJohn_Ado,Undirected,Claudio_Ado,4
DonJohn_Ado,Undirected,Conrade_Ado,1
DonJohn_Ado,Undirected,Borachio_Ado,3
DonJohn_Ado,Undirected,LeonatosBrother_Ado,1
DonJohn_Ado,Undirected,Margaret_Ado,1
DonJohn_Ado,Undirected,Balthasar_Ado,1
DonJohn_Ado,Undirected,Ursula_Ado,1
DonJohn_Ado,Undirected,Antonio_Ado,1
DonJohn_Ado,Undirected,FriarFrancis_Ado,1
Claudio_Ado,Undirected,LeonatosBrother_Ado,3
Claudio_Ado,Undirected,Margaret_Ado,1
Claudio_Ado,Undirected,Balthasar_Ado,2
Claudio_Ado,Undirected,Ursula_Ado,1
Claudio_Ado,Undirected,Antonio_Ado,1
Claudio_Ado,Undirected,Borachio_Ado,2
Claudio_Ado,Undirected,Boy_Ado,1
Claudio_Ado,Undirected,FriarFrancis_Ado,2
Claudio_Ado,Undirected,Dogberry_Ado,1
Claudio_Ado,Undirected,Verges_Ado,1
Claudio_Ado,Undirected,ATTENDANTS.0.1_Ado,1
Claudio_Ado,Undirected,MUSICIANS_Ado,1
Claudio_Ado,Undirected,MESSENGERS.DONPEDRO.1_Ado,1
LeonatosBrother_Ado,Undirected,Margaret_Ado,1
LeonatosBrother_Ado,Undirected,Balthasar_Ado,1
LeonatosBrother_Ado,Undirected,Ursula_Ado,1
LeonatosBrother_Ado,Undirected,Antonio_Ado,1
LeonatosBrother_Ado,Undirected,Borachio_Ado,2
LeonatosBrother_Ado,Undirected,Dogberry_Ado,1
LeonatosBrother_Ado,Undirected,Verges_Ado,1
LeonatosBrother_Ado,Undirected,FriarFrancis_Ado,1
LeonatosBrother_Ado,Undirected,MESSENGERS.DONPEDRO.1_Ado,1
Conrade_Ado,Undirected,Borachio_Ado,3
Conrade_Ado,Undirected,Dogberry_Ado,2
Conrade_Ado,Undirected,Verges_Ado,2
Conrade_Ado,Undirected,WATCHMEN.1_Ado,2
Conrade_Ado,Undirected,WATCHMEN.Seacoal_Ado,2
Conrade_Ado,Undirected,WATCHMEN.2_Ado,1
Conrade_Ado,Undirected,Sexton_Ado,1
Borachio_Ado,Undirected,Margaret_Ado,1
Borachio_Ado,Undirected,Balthasar_Ado,1
Borachio_Ado,Undirected,Ursula_Ado,1
Borachio_Ado,Undirected,Antonio_Ado,1
Borachio_Ado,Undirected,Dogberry_Ado,3
Borachio_Ado,Undirected,Verges_Ado,3
Borachio_Ado,Undirected,WATCHMEN.1_Ado,2
Borachio_Ado,Undirected,WATCHMEN.Seacoal_Ado,2
Borachio_Ado,Undirected,WATCHMEN.2_Ado,1
Borachio_Ado,Undirected,Sexton_Ado,1
Margaret_Ado,Undirected,Balthasar_Ado,1
Margaret_Ado,Undirected,Ursula_Ado,4
Margaret_Ado,Undirected,Antonio_Ado,1
Balthasar_Ado,Undirected,Ursula_Ado,1
Balthasar_Ado,Undirected,Antonio_Ado,1
Balthasar_Ado,Undirected,Boy_Ado,1
Ursula_Ado,Undirected,Antonio_Ado,1
Dogberry_Ado,Undirected,Verges_Ado,4
Dogberry_Ado,Undirected,WATCHMEN.1_Ado,2
Dogberry_Ado,Undirected,WATCHMEN.Seacoal_Ado,2
Dogberry_Ado,Undirected,WATCHMEN.2_Ado,1
Dogberry_Ado,Undirected,Sexton_Ado,1
Verges_Ado,Undirected,WATCHMEN.1_Ado,2
Verges_Ado,Undirected,WATCHMEN.Seacoal_Ado,2
Verges_Ado,Undirected,WATCHMEN.2_Ado,1
Verges_Ado,Undirected,Sexton_Ado,1
WATCHMEN.1_Ado,Undirected,WATCHMEN.Seacoal_Ado,2
WATCHMEN.1_Ado,Undirected,WATCHMEN.2_Ado,1
WATCHMEN.1_Ado,Undirected,Sexton_Ado,1
WATCHMEN.Seacoal_Ado,Undirected,WATCHMEN.2_Ado,1
WATCHMEN.Seacoal_Ado,Undirected,Sexton_Ado,1
FriarFrancis_Ado,Undirected,MESSENGERS.DONPEDRO.1_Ado,1
ATTENDANTS.0.1_Ado,Undirected,MUSICIANS_Ado,1
